Умеете в нейросети? Можно смело добавлять этот скил в резюме и требовать значительной надбавки к зарплате;3039;https://74.ru/text/science/2024/04/15/73457372/
Ученые из Челябинска откопали пузырьки с жидкостью, которым больше 130 лет;9457;https://74.ru/text/science/2024/02/17/73241450/
Студенты работают в тайге и покоряют Олимпийские игры: побывали в одном из самых известных вузов Иркутска;5714;https://74.ru/text/education/2023/11/08/72892268/
Лечат рак и эпилепсию: как искусственный интеллект помогает врачам и спасает жизни;5096;https://74.ru/text/science/2023/11/23/72943529/
«Манящая Арктика»: студент из Архангельска рассказал, чем его увлекло обучение в вузе;5738;https://74.ru/text/education/2023/09/14/72695846/
«Манящая Арктика»: студент из Архангельска рассказал, чем его увлекло обучение в вузе;5738;https://74.ru/text/education/2023/09/14/72695846/
Лечат рак и эпилепсию: как искусственный интеллект помогает врачам и спасает жизни;5096;https://74.ru/text/science/2023/11/23/72943529/
Энергетические установки, кораблестроение и океанотехника. В Донском техническом вузе появились новые направления;3740;https://74.ru/text/education/2023/11/24/72951338/
«Никто не спорит с профессионалом»: девушка-технарь рассказала, почему стереотипам не место в науке;3441;https://74.ru/text/science/2023/11/17/72923813/
"«В детстве я слушала рассказы отца об атомных установках и мечтала создать ""свой реактор""»: физик-ядерщик — о профессии, учебе и студентах";3369;https://74.ru/text/science/2023/09/07/72675221/
Много бюджетных мест, хорошие стипендии — что еще? Ректор НГТУ им. Р. Е. Алексеева ответил на популярные вопросы абитуриентов;4487;https://74.ru/text/science/2023/09/13/72693560/
Много бюджетных мест, хорошие стипендии — что еще? Ректор НГТУ им. Р. Е. Алексеева ответил на популярные вопросы абитуриентов;4487;https://74.ru/text/science/2023/09/13/72693560/
"«В детстве я слушала рассказы отца об атомных установках и мечтала создать ""свой реактор""»: физик-ядерщик — о профессии, учебе и студентах";3369;https://74.ru/text/science/2023/09/07/72675221/
Отдыхает за рулем и учит иностранцев: как изобретатель полюбила химию и что из этого вышло;4039;https://74.ru/text/science/2023/09/06/72674708/
«Куда эту красоту? Сжигать?» Молодой ученый — о переработке отходов и научных экспериментах;5309;https://74.ru/text/science/2023/08/17/72608396/
В океане, в лабораториях и в полях: как изменилась жизнь российских ученых за пять лет (спойлер: очень сильно);3332;https://74.ru/text/science/2023/07/31/72549413/
«Я вживую увидел, как разрушается электронный пучок, причем очень красиво»: физик — о СКИФе, науке и современных ученых;3559;https://74.ru/text/science/2023/08/15/72537422/
«Я вживую увидел, как разрушается электронный пучок, причем очень красиво»: физик — о СКИФе, науке и современных ученых;3559;https://74.ru/text/science/2023/08/15/72537422/
В океане, в лабораториях и в полях: как изменилась жизнь российских ученых за пять лет (спойлер: очень сильно);3332;https://74.ru/text/science/2023/07/31/72549413/
